,W eco,W soc,K,Recovery rate,Delay for societal,Divorce
282,0.0,0.0,-0.8000000000000007,0.2,7.5,84.51314165738496
283,0.0,0.0,-0.8000000000000007,0.2,8.5,84.48015625608461
284,0.0,0.0,-0.8000000000000007,0.2,9.5,84.4406174670283
285,0.0,0.0,-0.8000000000000007,0.2,10.5,84.39471956022454
286,0.0,0.0,-0.8000000000000007,0.4,0.5,103.73932034737366
287,0.0,0.0,-0.8000000000000007,0.4,1.5,103.70883582049044
288,0.0,0.0,-0.8000000000000007,0.4,2.5,103.68960376920339
289,0.0,0.0,-0.8000000000000007,0.4,3.5,103.6790870830285
290,0.0,0.0,-0.8000000000000007,0.4,4.5,103.68093450266261
291,0.0,0.0,-0.8000000000000007,0.4,5.5,103.69914944955944
292,0.0,0.0,-0.8000000000000007,0.4,6.5,103.72706360618245
293,0.0,0.0,-0.8000000000000007,0.4,7.5,103.75337261750091
294,0.0,0.0,-0.8000000000000007,0.4,8.5,103.7705175379165
295,0.0,0.0,-0.8000000000000007,0.4,9.5,103.77554964871403
296,0.0,0.0,-0.8000000000000007,0.4,10.5,103.76793623442198
297,0.0,0.0,-0.8000000000000007,0.6000000000000001,0.5,111.21132447919791
298,0.0,0.0,-0.8000000000000007,0.6000000000000001,1.5,111.21878586277666
299,0.0,0.0,-0.8000000000000007,0.6000000000000001,2.5,111.20842708653655
300,0.0,0.0,-0.8000000000000007,0.6000000000000001,3.5,111.1825446367086
301,0.0,0.0,-0.8000000000000007,0.6000000000000001,4.5,111.1419902009106
302,0.0,0.0,-0.8000000000000007,0.6000000000000001,5.5,111.10360088003335
303,0.0,0.0,-0.8000000000000007,0.6000000000000001,6.5,111.08161600606407
304,0.0,0.0,-0.8000000000000007,0.6000000000000001,7.5,111.07615833110903
305,0.0,0.0,-0.8000000000000007,0.6000000000000001,8.5,111.0805511531544
306,0.0,0.0,-0.8000000000000007,0.6000000000000001,9.5,111.0882281354141
307,0.0,0.0,-0.8000000000000007,0.6000000000000001,10.5,111.09462861252432
308,0.0,0.0,-0.8000000000000007,0.8,0.5,115.23552114811756
309,0.0,0.0,-0.8000000000000007,0.8,1.5,115.29606250196782
310,0.0,0.0,-0.8000000000000007,0.8,2.5,115.35306616159987
311,0.0,0.0,-0.8000000000000007,0.8,3.5,115.40401272204213
312,0.0,0.0,-0.8000000000000007,0.8,4.5,115.42817057644824
313,0.0,0.0,-0.8000000000000007,0.8,5.5,115.42106904468416
314,0.0,0.0,-0.8000000000000007,0.8,6.5,115.400616101622
315,0.0,0.0,-0.8000000000000007,0.8,7.5,115.38220846874128
316,0.0,0.0,-0.8000000000000007,0.8,8.5,115.37137131951387
317,0.0,0.0,-0.8000000000000007,0.8,9.5,115.36785279328825
318,0.0,0.0,-0.8000000000000007,0.8,10.5,115.36944929804653
319,0.0,0.0,-0.8000000000000007,1.0,0.5,118.26222533104871
320,0.0,0.0,-0.8000000000000007,1.0,1.5,118.22360720936722
321,0.0,0.0,-0.8000000000000007,1.0,2.5,118.22173160839696
322,0.0,0.0,-0.8000000000000007,1.0,3.5,118.25966605989137
323,0.0,0.0,-0.8000000000000007,1.0,4.5,118.31931123490389
324,0.0,0.0,-0.8000000000000007,1.0,5.5,118.3645231525297
325,0.0,0.0,-0.8000000000000007,1.0,6.5,118.38657834443451
326,0.0,0.0,-0.8000000000000007,1.0,7.5,118.39487575197195
327,0.0,0.0,-0.8000000000000007,1.0,8.5,118.39908899297463
328,0.0,0.0,-0.8000000000000007,1.0,9.5,118.40453210088019
329,0.0,0.0,-0.8000000000000007,1.0,10.5,118.41313985313894
330,0.0,0.0,-8.881784197001252e-16,0.0,0.5,1.2830121391618574
331,0.0,0.0,-8.881784197001252e-16,0.0,1.5,1.2830121391618574
332,0.0,0.0,-8.881784197001252e-16,0.0,2.5,1.2830121391618576
333,0.0,0.0,-8.881784197001252e-16,0.0,3.5,1.2830121391618576
334,0.0,0.0,-8.881784197001252e-16,0.0,4.5,1.2830121391618576
335,0.0,0.0,-8.881784197001252e-16,0.0,5.5,1.2830121391618576
336,0.0,0.0,-8.881784197001252e-16,0.0,6.5,1.2830121391618576
337,0.0,0.0,-8.881784197001252e-16,0.0,7.5,1.2830121391618576
338,0.0,0.0,-8.881784197001252e-16,0.0,8.5,1.2830121391618576
339,0.0,0.0,-8.881784197001252e-16,0.0,9.5,1.2830121391618576
340,0.0,0.0,-8.881784197001252e-16,0.0,10.5,1.2830121391618576
341,0.0,0.0,-8.881784197001252e-16,0.2,0.5,78.14369866546821
342,0.0,0.0,-8.881784197001252e-16,0.2,1.5,78.14369866546821
343,0.0,0.0,-8.881784197001252e-16,0.2,2.5,78.14369866546821
344,0.0,0.0,-8.881784197001252e-16,0.2,3.5,78.14369866546821
345,0.0,0.0,-8.881784197001252e-16,0.2,4.5,78.14369866546821
346,0.0,0.0,-8.881784197001252e-16,0.2,5.5,78.14369866546821
347,0.0,0.0,-8.881784197001252e-16,0.2,6.5,78.14369866546821
348,0.0,0.0,-8.881784197001252e-16,0.2,7.5,78.14369866546821
349,0.0,0.0,-8.881784197001252e-16,0.2,8.5,78.14369866546821
350,0.0,0.0,-8.881784197001252e-16,0.2,9.5,78.14369866546821
351,0.0,0.0,-8.881784197001252e-16,0.2,10.5,78.14369866546821
352,0.0,0.0,-8.881784197001252e-16,0.4,0.5,97.48902163793575
353,0.0,0.0,-8.881784197001252e-16,0.4,1.5,97.48902163793575
354,0.0,0.0,-8.881784197001252e-16,0.4,2.5,97.48902163793575
355,0.0,0.0,-8.881784197001252e-16,0.4,3.5,97.48902163793575
356,0.0,0.0,-8.881784197001252e-16,0.4,4.5,97.48902163793575
357,0.0,0.0,-8.881784197001252e-16,0.4,5.5,97.48902163793575
358,0.0,0.0,-8.881784197001252e-16,0.4,6.5,97.48902163793575
359,0.0,0.0,-8.881784197001252e-16,0.4,7.5,97.48902163793575
360,0.0,0.0,-8.881784197001252e-16,0.4,8.5,97.48902163793575
361,0.0,0.0,-8.881784197001252e-16,0.4,9.5,97.48902163793575
362,0.0,0.0,-8.881784197001252e-16,0.4,10.5,97.48902163793575
363,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,0.5,105.69668936904213
364,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,1.5,105.69668936904213
365,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,2.5,105.69668936904213
366,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,3.5,105.69668936904213
367,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,4.5,105.69668936904213
368,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,5.5,105.69668936904213
369,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,6.5,105.69668936904213
370,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,7.5,105.69668936904213
371,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,8.5,105.69668936904213
372,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,9.5,105.69668936904213
373,0.0,0.0,-8.881784197001252e-16,0.6000000000000001,10.5,105.69668936904213
374,0.0,0.0,-8.881784197001252e-16,0.8,0.5,110.6746103980884
375,0.0,0.0,-8.881784197001252e-16,0.8,1.5,110.6746103980884
376,0.0,0.0,-8.881784197001252e-16,0.8,2.5,110.6746103980884
377,0.0,0.0,-8.881784197001252e-16,0.8,3.5,110.6746103980884
378,0.0,0.0,-8.881784197001252e-16,0.8,4.5,110.6746103980884
379,0.0,0.0,-8.881784197001252e-16,0.8,5.5,110.6746103980884
380,0.0,0.0,-8.881784197001252e-16,0.8,6.5,110.6746103980884
381,0.0,0.0,-8.881784197001252e-16,0.8,7.5,110.6746103980884
382,0.0,0.0,-8.881784197001252e-16,0.8,8.5,110.6746103980884
383,0.0,0.0,-8.881784197001252e-16,0.8,9.5,110.6746103980884
384,0.0,0.0,-8.881784197001252e-16,0.8,10.5,110.6746103980884
385,0.0,0.0,-8.881784197001252e-16,1.0,0.5,114.34855942269331
386,0.0,0.0,-8.881784197001252e-16,1.0,1.5,114.34855942269331
387,0.0,0.0,-8.881784197001252e-16,1.0,2.5,114.34855942269331
